,Energy consumption,Energy production,CO2 emission,clusters,cluster
314,0.09565587,0.056022407,8.044870503,0,Pink
315,1.899908357,10.3007718,40.26077395,0,Pink
316,0.385657081,2.479042197,20.2002346,0,Pink
317,1.811210722,1.123403663,109.5418828,0,Pink
318,0.026686715,0.0,0.6,0,Pink
319,0.232588234,0.025801501,13.11195477,0,Pink
320,0.059055804,0.151860713,2.615793589,0,Pink
321,0.37835966,0.463605722,3.6,0,Pink
322,0.533117345,0.399334176,26.4474212,0,Pink
323,1.090895784,0.232812041,70.31769723,0,Pink
324,3.733251607,3.037004186,302.9332156,4,black
325,1.080589399,0.163840048,61.48173378,0,Pink
326,0.480534499,0.001374289,22.09916902,0,Pink
327,0.502855464,2.729437064,34.74410415,0,Pink
328,0.038963331,0.008349064,2.5,0,Pink
329,1.714709042,1.247603134,92.32793937,0,Pink
331,0.009738917,0.000919637,0.8,0,Pink
332,0.002720228,0.0,0.1,0,Pink
333,0.005420867,0.0,0.3,0,Pink
334,0.002768473,0.000196327,0.2,0,Pink
335,0.003388768,0.000495984,0.1,0,Pink
336,0.00093125,4.13e-05,0.09211,0,Pink
337,5.296418524,20.94557182,289.7167008,4,black
338,0.074025789,0.002228055,4.384222643,0,Pink
339,0.013804398,0.0,0.6,0,Pink
340,0.008032921,0.000154995,0.9,0,Pink
341,1.747797769,0.009775018,107.9425015,0,Pink
342,0.841509087,0.292653668,37.47599107,0,Pink
343,0.287764176,0.136964005,14.61144085,0,Pink
344,0.003769738,0.0,0.2,0,Pink
345,0.010289035,0.0,0.7,0,Pink
346,4.569975671,5.17404631,392.9875703,1,Rose pink
347,8.314835373,1.208073196,465.6595976,1,Rose pink
348,5.75550773,1.564911166,315.7942838,4,black
349,0.192978762,0.03192897,11.00211257,0,Pink
350,0.1140083,0.402181517,6.5,0,Pink
351,0.02817201,0.030561553,1.6,0,Pink
352,2.411758291,1.546405275,56.66824515,0,Pink
353,1.347629931,0.703318138,44.55394322,0,Pink
354,0.734313624,1.366234915,50.01104385,0,Pink
355,3.693343092,0.444025555,237.7232819,4,black
356,0.210048005,0.148407442,5.913996805,0,Pink
357,0.068729362,0.02862015,2.670659162,0,Pink
358,2.721363205,1.275510755,158.0371832,4,black
359,0.057250513,0.0,3.5,0,Pink
360,0.013957582,0.00051665,1.4,0,Pink
361,0.001346621,0.0,0.1,0,Pink
362,0.337389662,0.243037047,18.95769226,0,Pink
363,2.903220022,0.919501017,207.1749497,4,black
364,0.53482345,2.133054305,23.91702329,0,Pink
365,0.03600802,0.016295141,1.3,0,Pink
366,5.835636581,3.266186631,348.7293245,1,Rose pink
367,2.269105791,6.593363178,128.1398179,4,black
368,9.977709703,11.19540961,569.646097,1,Rose pink
370,0.17961093,0.094453953,6.478470396,0,Pink
371,2.030397068,2.655581708,107.6808361,0,Pink
372,0.001451473,0.0,0.08424,0,Pink
373,2.996528455,9.221757196,125.1701029,4,black
374,0.765873158,1.370534345,41.884211,0,Pink
375,0.220808686,0.92129446,13.0,0,Pink
376,0.10424974,0.086799418,1.895350946,0,Pink
377,0.187560877,0.133077362,13.28504708,0,Pink
378,0.015109509,0.007910394,0.848627166,0,Pink
379,0.100649484,0.051256018,3.579187341,0,Pink
380,1.307454563,6.390558968,70.8334408,0,Pink
381,0.128113413,1.941220672,7.339732749,0,Pink
382,0.007814668,0.0,0.5,0,Pink
383,2.550997701,3.573788527,127.2982254,4,black
384,0.094417034,0.041199143,8.551151861,0,Pink
385,0.01612162,0.0,1.0,0,Pink
386,4.974069664,10.32333779,353.5075146,1,Rose pink
387,1.421635082,0.557003628,65.58858786,0,Pink
388,0.531857415,0.878819774,31.18865281,0,Pink
389,0.421559964,0.445107867,20.75966315,0,Pink
390,0.588135528,0.407646155,32.90511467,0,Pink
391,0.023941209,0.003213689,1.662776317,0,Pink
392,0.980390453,0.085593889,53.85218374,0,Pink
393,2.683038178,0.486964287,138.8151146,4,black
394,0.008772491,0.001072977,0.9,0,Pink
395,0.030545252,0.001813832,1.7,0,Pink
396,0.008786658,0.0,0.5,0,Pink
397,0.02072191,0.023373022,0.220313797,0,Pink
398,0.13882688,0.321053476,7.705578224,0,Pink
399,0.220653932,0.168675058,14.42719838,0,Pink
400,0.054010407,0.021222994,3.511330594,0,Pink
401,8.448299044,7.000481783,331.635045,4,black
402,0.001616028,0.0,0.06038,0,Pink
403,0.089079328,0.792873391,4.24837587,0,Pink
404,0.768864033,0.428673258,44.48591025,0,Pink
405,0.016919024,0.000651072,1.1,0,Pink
406,0.175627334,0.380200943,8.891136346,0,Pink
407,0.004541802,0.001281798,0.4,0,Pink
408,0.005639846,6.1e-05,0.1,0,Pink
409,0.03232459,0.00030519,2.500127286,0,Pink
410,0.079685071,0.183623663,3.2,0,Pink
411,12.92339446,18.24372517,524.3783121,1,Rose pink
412,0.007459981,0.0,0.3,0,Pink
413,0.005010511,0.000834186,0.3,0,Pink
414,0.003336714,0.0,0.2,0,Pink
415,1.069609312,0.345509789,51.55566064,0,Pink
417,1.187464015,2.930498011,49.30526507,0,Pink
418,0.001571095,3.05e-05,0.09954,0,Pink
419,0.014911864,0.547213732,0.8,0,Pink
420,0.07356532,0.110172374,1.400393101,0,Pink
421,0.153955554,0.075343988,5.410743689,0,Pink
422,0.373069008,0.165196754,20.35452264,0,Pink
423,0.349061585,0.135243479,32.68766906,0,Pink
424,0.109516163,0.0,8.139697978,0,Pink
425,1.705384527,1.292908242,119.2856732,4,black
426,0.120783015,0.090624806,5.84837587,0,Pink
427,0.845477694,1.180319131,55.04824647,0,Pink
428,0.012047991,0.0,1.9,0,Pink
429,0.001822092,0.00030519,0.1,0,Pink
430,0.301608288,0.00925743,16.44555316,0,Pink
431,0.399895573,0.941876058,19.39305512,0,Pink
432,2.234895906,2.670626952,128.0033591,4,black
433,0.106705905,0.022191905,5.701780641,0,Pink
434,0.09632899,0.470933307,0.258852797,0,Pink
435,0.0088588,1.02e-05,0.8,0,Pink
436,0.077955122,0.00030519,6.106683326,0,Pink
437,0.022229676,0.014020808,1.101250879,0,Pink
438,0.073686431,0.020834304,3.600004267,0,Pink
439,0.023280162,0.005667378,1.526879675,0,Pink
440,1.261332511,0.418002723,54.94883237,0,Pink
441,11.06691634,5.146436351,410.6522317,1,Rose pink
442,0.042270082,0.552561163,1.956940792,0,Pink
443,0.004684185,0.0,0.3,0,Pink
444,0.149330668,0.071903246,4.055591743,0,Pink
445,14.46525658,5.451155231,888.0166657,2,Lilac
446,0.130766144,0.06603148,5.2,0,Pink
447,1.366293978,0.414520597,102.2202878,0,Pink
448,0.003148728,0.0,0.2,0,Pink
449,0.031920895,0.001302144,1.8,0,Pink
450,0.171216976,0.067052066,10.13034021,0,Pink
451,0.030303925,0.005991897,1.3,0,Pink
452,0.003538605,0.0,0.4,0,Pink
453,0.023381139,0.000569688,1.7,0,Pink
454,0.028420242,0.002614461,1.7,0,Pink
455,0.091548059,0.01637853,5.000130689,0,Pink
456,0.903680832,0.0,60.63377822,0,Pink
457,12.99953071,9.369111145,907.7096698,2,Lilac
458,4.091547717,7.504290713,250.910737,4,black
459,5.913722596,10.44649692,322.2563904,4,black
460,1.040776122,4.421670307,76.41445734,0,Pink
461,0.618463631,0.043531905,43.19501339,0,Pink
462,0.817745863,0.000894408,59.25490172,0,Pink
463,7.668904609,1.233904132,451.457377,1,Rose pink
464,0.148935959,0.003732393,11.13386317,0,Pink
465,22.17177537,4.279032001,1225.821486,2,Lilac
466,0.228016996,0.01211605,15.57296717,0,Pink
467,2.32010337,4.51439399,174.5932478,4,black
468,0.15997824,0.03855567,8.011365756,0,Pink
469,0.000620575,0.0,0.02544,0,Pink
470,0.88921763,4.580557151,56.67511445,0,Pink
471,0.193425527,0.119479856,6.549757887,0,Pink
472,0.040870436,0.03831162,0.444694229,0,Pink
473,0.161841221,0.025015407,7.905134014,0,Pink
474,0.221792296,0.006826083,15.32864308,0,Pink
475,0.008894866,0.003194322,0.2,0,Pink
476,0.006788357,0.0,0.5,0,Pink
477,0.755049483,3.112092854,40.57388588,0,Pink
478,0.340733084,0.165831038,12.99884729,0,Pink
479,0.171225132,0.001871323,9.630874901,0,Pink
480,0.026129233,0.0,1.702199619,0,Pink
481,0.024797533,0.005442555,2.031152181,0,Pink
482,0.022563207,0.013415717,0.856440456,0,Pink
483,2.089625982,3.324829075,120.6363933,4,black
484,0.009790112,0.0,0.5,0,Pink
485,0.015395307,0.002400828,0.6,0,Pink
486,0.067900416,0.0,2.500049824,0,Pink
487,0.033601741,0.000152595,2.1,0,Pink
488,0.019281776,0.000345882,3.2,0,Pink
489,0.054974202,0.005239095,3.918080221,0,Pink
490,6.479846997,9.652733719,384.9338381,1,Rose pink
491,0.121125421,0.003540204,5.787381048,0,Pink
492,0.157487183,0.13724316,13.39178486,0,Pink
493,0.446024965,0.013629428,32.38793325,0,Pink
494,0.13270845,0.131049322,1.517705594,0,Pink
495,0.048157134,0.014710158,2.201850683,0,Pink
496,0.055776968,0.021539565,2.414286583,0,Pink
497,4.101837205,2.616958179,238.4049013,4,black
498,0.846010451,0.691292784,36.52278522,0,Pink
499,0.060160688,0.00616789,3.9,0,Pink
500,0.011787458,0.003702467,1.0872742,0,Pink
501,0.905169986,5.154056539,56.23826584,0,Pink
502,0.931223284,0.692491735,83.37978057,0,Pink
503,0.094943996,0.054015935,7.946283832,0,Pink
504,1.944425357,10.69001953,42.45066576,0,Pink
505,0.414106658,2.483930564,20.43755779,0,Pink
506,1.829465635,1.14678446,103.5354752,0,Pink
507,0.024710385,0.0,1.2,0,Pink
508,0.229786481,0.034435605,13.05839801,0,Pink
509,0.061800436,0.126433155,2.615793589,0,Pink
510,0.394247993,0.4855833,3.5,0,Pink
511,0.53935894,0.403079495,25.37097912,0,Pink
512,1.111226023,0.301867386,69.27132689,0,Pink
513,3.65197461,3.010008697,305.4028606,4,black
514,1.078836811,0.100875468,60.20805725,0,Pink
515,0.49333594,0.001159722,31.30647887,0,Pink
516,0.602028792,2.807314742,25.23530463,0,Pink
517,0.039620939,0.00824013,2.6,0,Pink
518,1.661531046,1.199345726,101.2763683,0,Pink
520,0.009957347,0.000996954,0.8,0,Pink
521,0.002975928,0.0,0.1,0,Pink
522,0.004898136,0.0,0.3,0,Pink
523,0.002993147,0.000223806,0.2,0,Pink
524,0.003578188,0.000630726,0.1,0,Pink
525,0.001053963,6.1e-05,0.09209,0,Pink
526,5.509827835,20.26962057,301.332007,4,black
527,0.076815045,0.004252735,4.384222643,0,Pink
528,0.01202066,0.0,0.6,0,Pink
529,0.008082413,0.000162768,0.9,0,Pink
530,1.727197527,0.009623658,112.3153432,0,Pink
531,0.845193208,0.30305866,40.80404235,0,Pink
532,0.287887002,0.141081923,15.21050167,0,Pink
533,0.003895627,0.0,0.2,0,Pink
534,0.011122919,0.0,0.7,0,Pink
535,4.747677355,5.110475612,390.7610787,1,Rose pink
536,8.422207243,1.250795647,480.3668295,1,Rose pink
537,5.862960726,1.393911666,319.7679854,4,black
538,0.195066753,0.02726364,11.00119759,0,Pink
539,0.13497358,0.457251762,7.5,0,Pink
540,0.031250044,0.030608321,1.7,0,Pink
541,2.289799754,1.373317956,57.92289231,0,Pink
542,1.274105736,0.639795155,45.742915,0,Pink
543,0.794778503,1.421038101,49.08751117,0,Pink
544,3.860588376,0.467107145,229.2158673,4,black
545,0.216107488,0.154923341,6.213204579,0,Pink
546,0.075622507,0.029434809,3.08394738,0,Pink
547,3.037015845,1.37214635,167.2081723,4,black
548,0.059377343,0.0,3.4,0,Pink
549,0.015809278,0.000874878,1.0,0,Pink
550,0.001460142,0.0,0.1,0,Pink
551,0.333952634,0.251852577,20.54507273,0,Pink
552,3.153945994,0.939658199,188.3993106,4,black
553,0.632008039,2.381750232,29.83289508,0,Pink
554,0.036902888,0.017344965,1.4,0,Pink
555,6.014485213,3.264598051,341.4728023,4,black
556,2.372036776,6.499049854,139.4373646,4,black
557,9.843862996,11.03285881,574.4422915,1,Rose pink
559,0.159503568,0.096450213,4.980301899,0,Pink
560,2.074121476,2.456750474,112.4249151,0,Pink
561,0.00138512,0.0,0.08421,0,Pink
562,2.855063056,8.151362312,142.220116,4,black
